IATA,Lat,Lon,Country,Continent
AAA,-17.3526001,-145.5099945,French Polynesia,Oceania
AAC,31.07329941,33.83580017,Egypt,Africa
AAE,36.822201,7.8091740000000005,Algeria,Africa
AAF,29.72750092,-85.02749634,United States,North America
AAH,50.82305527,6.186388968999999,Germany,Europe
AAK,0.185277998,173.63699340000002,Kiribati,Oceania
AAL,57.09275891,9.849243163999999,Denmark,Europe
AAM,-24.81809998,31.54459953,South Africa,Africa
AAN,24.26169968,55.60919952,United Arab Emirates,Asia
AAO,9.430225372,-64.47072601,Venezuela,South America
AAP,29.72249985,-95.58830261,United States,North America
AAQ,45.0021019,37.34730148,Russia,Europe
AAR,56.29999924,10.61900043,Denmark,Europe
AAT,47.74988556,88.0858078,China,Asia
AAV,6.366819859,124.7509995,Philippines,Asia
AAX,-19.5632,-46.96039963,Brazil,South America
AAY,16.19169998,52.17499924,Yemen,Asia
AAZ,14.8656,-91.501999,Guatemala,North America
ABA,53.74000168,91.38500214,Russia,Europe
ABB,6.204167,6.665278,Nigeria,Africa
ABC,38.94850159,-1.863520026,Spain,Europe
ABD,30.37109947,48.22829819,Iran,Asia
ABE,40.65209961,-75.44080353,United States,North America
ABF,1.798609972,173.0410004,Kiribati,Oceania
ABH,-23.646099,146.584,Australia,Oceania
ABI,32.41130066,-99.68190002,United States,North America
ABJ,5.261390209,-3.926290035,Cote d'Ivoire,Africa
ABK,6.734,44.252998,Ethiopia,Africa
ABL,67.1063,-157.856989,United States,North America
ABM,-10.9508,142.459,Australia,Oceania
ABN,5.512720108,-54.05009842,Suriname,South America
ABQ,35.040199,-106.609001,United States,North America
ABR,45.44910049,-98.42179871,United States,North America
ABS,22.37599945,31.61170006,Egypt,Africa
ABT,20.29610062,41.63430023,Saudi Arabia,Asia
ABV,9.006790161,7.263169765,Nigeria,Africa
ABX,-36.06779861,146.9579926,Australia,Oceania
ABY,31.53549957,-84.19450378,United States,North America
ABZ,57.20190048,-2.197779894,United Kingdom,Europe
ACA,16.75709915,-99.7539978,Mexico,North America
ACC,5.6051898,-0.166786,Ghana,Africa
ACD,8.51667,-77.3,Colombia,South America
ACE,28.945498999999998,-13.6052,Spain,Europe
ACF,-27.57029915,153.0079956,Australia,Oceania
ACH,47.48500061,9.560770035,Switzerland,Europe
ACI,49.706103999999996,-2.2147200000000002,Guernsey,Europe
ACJ,8.30148983,80.42790222,Sri Lanka,Asia
ACK,41.25310135,-70.06020355,United States,North America
ACN,29.332898999999998,-101.098998,Mexico,North America
ACP,37.34799957,46.12789917,Iran,Asia
ACR,-0.5833,-72.4083,Colombia,South America
ACS,56.26829910000001,90.57080078,Russia,Europe
ACT,31.61129951,-97.23049927,United States,North America
ACV,40.978101,-124.109,United States,North America
ACX,25.08638889,104.95944440000001,China,Asia
ACY,39.45759964,-74.57720184,United States,North America
ACZ,31.09830093,61.54389954,Iran,Asia
ADA,36.98220062,35.28039932,Turkey,Asia
ADB,38.29240036,27.15699959,Turkey,Asia
ADD,8.977890015,38.79930115,Ethiopia,Africa
ADE,12.8295002,45.02880096,Yemen,Asia
ADF,37.73139954,38.46889877,Turkey,Asia
ADH,58.60279846,125.4089966,Russia,Europe
ADI,-22.46220016,14.97999954,Namibia,Africa
ADJ,31.97270012,35.99160004,Jordan,Asia
ADK,51.87799835,-176.6459961,United States,North America
ADL,-34.945,138.53100600000002,Australia,Oceania
ADM,34.30301,-97.01963420000001,United States,North America
ADP,7.33776,81.62594,Sri Lanka,Asia
ADQ,57.75,-152.4940033,United States,North America
ADS,32.96860123,-96.83640289,United States,North America
ADT,34.804297999999996,-96.67130300000001,United States,North America
ADU,38.32569885,48.42440033,Iran,Asia
ADW,38.810798999999996,-76.866997,United States,North America
ADX,56.3728981,-2.868439913,United Kingdom,Europe
ADY,-22.67900085,29.05550003,South Africa,Africa
ADZ,12.5836,-81.7112,Colombia,South America
AEA,0.490833014,173.8289948,Kiribati,Oceania
AEB,23.72060013,106.95999909999999,China,Asia
AEG,1.4001,99.43049599999999,Indonesia,Asia
AEH,13.84700012,20.84429932,Chad,Africa
AEI,36.12888,-5.441118,Spain,Europe
AEO,16.7112999,-9.637880325,Mauritania,Africa
AEP,-34.5592,-58.4156,Argentina,South America
AER,43.449902,39.9566,Russia,Europe
AES,62.5625,6.119699955,Norway,Europe
AET,66.55180359,-152.621994,United States,North America
AEU,25.8757,55.033001,Iran,Asia
AEX,31.32740021,-92.54979706,United States,North America
AEY,65.66000366,-18.0727005,Iceland,Europe
AFA,-34.588299,-68.4039,Argentina,South America
AFL,-9.866389275,-56.10499954,Brazil,South America
AFS,41.61389923,64.23320007,Uzbekistan,Asia
AFT,-9.191388889,160.9486111,Solomon Islands,Oceania
AFW,32.98759842,-97.31880188,United States,North America
AFY,38.72639847,30.60110092,Turkey,Asia
AFZ,36.16809845,57.59519958,Iran,Asia
AGA,30.32500076,-9.413069725,Morocco,Africa
AGB,48.425278000000006,10.931667,Germany,Europe
AGC,40.35440063,-79.93019867,United States,North America
AGE,53.78277969,7.913888931000001,Germany,Europe
AGF,44.17470169,0.590556026,France,Europe
AGH,56.29610062,12.84710026,Sweden,Europe
AGI,5.841128,-56.673328000000005,Suriname,South America
AGJ,26.59250069,127.2409973,Japan,Asia
AGN,57.503601,-134.58500700000002,United States,North America
AGP,36.67490005,-4.499110222,Spain,Europe
AGQ,38.602001,21.351200100000003,Greece,Europe
AGR,27.15579987,77.96089935,India,Asia
AGS,33.36989975,-81.96450043,United States,North America
AGT,-25.454516,-54.842681999999996,Paraguay,South America
AGU,21.705601,-102.318001,Mexico,North America
AGV,9.553375244,-69.23786926,Venezuela,South America
AGX,10.82369995,72.1760025,India,Asia
AGZ,-29.28179932,18.81389999,South Africa,Africa
AHB,18.24040031,42.65660095,Saudi Arabia,Asia
AHE,-14.42809963,-146.2570038,French Polynesia,Oceania
AHJ,32.53154,102.35224000000001,China,Asia
AHN,33.94860077,-83.32630157,United States,North America
AHO,40.632099,8.29077,Italy,Europe
AHS,15.4722,-84.352203,Honduras,North America
AHU,35.17710114,-3.8395199780000002,Morocco,Africa
AIA,42.05319977,-102.8040009,United States,North America
AID,40.10860062,-85.61299896,United States,North America
AIK,33.649399,-81.684998,United States,North America
AIN,70.63800049,-159.99499509999998,United States,North America
AIP,31.4338,75.758797,India,Asia
AIR,-10.188278,-59.457273,Brazil,South America
AIS,-2.616110086,176.8029938,Kiribati,Oceania
AIT,-18.83090019,-159.76400759999999,Cook Islands,Oceania
AIU,-19.96780014,-158.1190033,Cook Islands,Oceania
AIZ,38.09600067,-92.54949951,United States,North America
AJA,41.92359924,8.802920341,France,Europe
AJF,29.78510094,40.09999847,Saudi Arabia,Asia
AJI,39.65454102,43.02597809,Turkey,Asia
AJK,34.13809967,49.84730148,Iran,Asia
AJL,23.84059906,92.61969757,India,Asia
AJN,-12.13169956,44.43030167,Comoros,Africa
AJR,65.59030151,19.28190041,Sweden,Europe
AJU,-10.98400021,-37.07030106,Brazil,South America
AJY,16.9659996,8.000109672999999,Niger,Africa
AKA,32.708099,108.931,China,Asia
AKB,52.22029877,-174.2059937,United States,North America
AKC,41.03749847,-81.46690369,United States,North America
AKD,20.698999,77.058601,India,Asia
AKF,24.17869949,23.31399918,Libya,Africa
AKH,24.06270027,47.58050156,Saudi Arabia,Asia
AKI,60.9029007,-161.23100280000003,United States,North America
AKJ,43.67079926,142.4470062,Japan,Asia
AKK,56.93870163,-154.18299869999998,United States,North America
AKL,-37.008098600000004,174.7920074,New Zealand,Oceania
AKN,58.67679977,-156.6490021,United States,North America
AKO,40.17559814,-103.22200009999999,United States,North America
AKP,68.13359833,-151.7429962,United States,North America
AKR,7.246739863999999,5.301010132,Nigeria,Africa
AKS,-8.70257,160.682007,Solomon Islands,Oceania
AKT,34.590401,32.9879,Cyprus,Asia
AKU,41.262501,80.291702,China,Asia
AKV,60.8185997,-78.14859772,Canada,North America
AKW,30.7444,49.6772,Iran,Asia
AKX,50.2458,57.206699,Kazakhstan,Asia
AKY,20.13269997,92.87259674,Myanmar,Asia
ALA,43.35210037,77.04049683,Kazakhstan,Asia
ALB,42.74829865,-73.80169678,United States,North America
ALC,38.28219986,-0.558156013,Spain,Europe
ALE,30.38419914,-103.6839981,United States,North America
ALF,69.97609711,23.37170029,Norway,Europe
ALG,36.69100189,3.215409994,Algeria,Africa
ALH,-34.94329834,117.8089981,Australia,Oceania
ALI,27.74090004,-98.02690125,United States,North America
ALJ,-28.575001,16.5333,South Africa,Africa
ALL,44.050598,8.12743,Italy,Europe
ALM,32.83990097,-105.9909973,United States,North America
ALN,38.89030075,-90.04599762,United States,North America
ALO,42.55709839,-92.40029907,United States,North America
ALP,36.18069839,37.22439957,Syria,Asia
ALR,-45.21170044,169.37300109999998,New Zealand,Oceania
ALS,37.434898,-105.866997,United States,North America
ALU,11.9582,50.748000000000005,Somalia,Africa
ALW,46.09489822,-118.288002,United States,North America
ALX,32.91469955,-85.96299744,United States,North America
ALY,31.18390083,29.94890022,Egypt,Africa
AMA,35.219398,-101.706001,United States,North America
AMB,-13.18840027,48.98799896,Madagascar,Africa
AMC,11.0340004,20.27400017,Chad,Africa
AMD,23.07719994,72.63469696,India,Asia
AMH,6.039390087,37.59049988,Ethiopia,Africa
AMI,-8.560709953,116.09500120000001,Indonesia,Asia
AMM,31.72260094,35.99319839,Jordan,Asia
AMN,43.32210159,-84.68800354,Canada,North America
AMQ,-3.710259914,128.0890045,Indonesia,Asia
AMS,52.308601,4.76389,Netherlands,Europe
AMT,-26.10829926,131.2070007,Australia,Oceania
AMV,69.76329803,61.5564003,Russia,Europe
AMZ,-37.02970123,174.97300719999998,New Zealand,Oceania
ANB,33.5882,-85.8581,United States,North America
ANC,61.17440033,-149.9960022,United States,North America
AND,34.49459839,-82.70939636,United States,North America
ANE,47.560299,-0.312222,France,Europe
ANF,-23.444501000000002,-70.445099,Chile,South America
ANG,45.72919846,0.221456006,France,Europe
ANI,61.58160019,-159.5429993,United States,North America
ANK,39.94979858,32.68859863,Turkey,Asia
ANM,-14.99940014,50.32020187,Madagascar,Africa
ANN,55.04240036,-131.5720062,United States,North America
ANP,38.942902000000004,-76.568398,United States,North America
ANQ,41.639702,-85.083504,United States,North America
ANR,51.18939972,4.460279942,Belgium,Europe
ANS,-13.70639992,-73.35040283,Peru,South America
ANU,17.1367,-61.792702,Antigua and Barbuda,North America
ANV,62.646702000000005,-160.190994,United States,North America
ANX,69.29250336,16.14419937,Norway,Europe
AOC,50.981945,12.506389,Germany,Europe
AOE,39.809898,30.5194,Turkey,Asia
AOG,41.105301000000004,122.853996,China,Asia
AOH,40.706902,-84.026703,United States,North America
AOI,43.616299,13.3623,Italy,Europe
AOJ,40.73469925,140.69099430000003,Japan,Asia
AOK,35.42139816,27.14599991,Greece,Europe
AOL,-29.6894,-57.1521,Argentina,South America
AOO,40.29639816,-78.31999969,United States,North America
AOP,-2.796129942,-76.46659851,Peru,South America
AOR,6.1896700860000005,100.3980026,Malaysia,Asia
AOT,45.738499,7.36872,Italy,Europe
AOU,14.81471536,106.82169909999999,Lao People's Democratic Republic,Asia
APA,39.57009888,-104.84899899999999,United States,North America
APC,38.2132,-122.280998,United States,North America
APF,26.15259933,-81.77529907,United States,North America
APG,39.466202,-76.1688,United States,North America
API,4.07607,-73.5627,Colombia,South America
APK,-15.5736,-146.41499299999998,French Polynesia,Oceania
APL,-15.10560036,39.28179932,Mozambique,Africa
APN,45.07809829999999,-83.56030273,United States,North America
APO,7.811960000000001,-76.7164,Colombia,South America
APQ,-9.775360107000001,-36.62919998,Brazil,South America
APT,35.060699,-85.585297,United States,North America
APW,-13.82999992,-172.0079956,Samoa,Oceania
APZ,-38.975497999999995,-70.113602,Argentina,South America
AQA,-21.81200027,-48.13299942,Brazil,South America
AQB,15.01220036,-91.15059662,Guatemala,North America
AQG,30.582199,117.050003,China,Asia
AQI,28.335199,46.125099,Saudi Arabia,Asia
AQJ,29.61160088,35.01810074,Jordan,Asia
AQP,-16.34110069,-71.58309937,Peru,South America
ARA,30.0378,-91.883904,United States,North America
ARB,42.22299957,-83.74559784,United States,North America
ARC,68.1147,-145.578995,United States,North America
ARD,-8.132340431,124.59700009999999,Indonesia,Asia
ARE,18.45000076,-66.6753006,Puerto Rico,North America
ARH,64.60030365,40.71670151,Russia,Europe
ARI,-18.348499,-70.338699,Chile,South America
ARK,-3.367789984,36.63330078,Tanzania,Africa
ARM,-30.52809906,151.6170044,Australia,Oceania
ARN,59.65190125,17.91860008,Sweden,Europe
ARR,-45.013599,-70.812202,Argentina,South America
ART,43.991901399999996,-76.021698,United States,North America
ARU,-21.141300199999996,-50.42470169,Brazil,South America
ARV,45.92789841,-89.73090363,United States,North America
ARW,46.17660141,21.26199913,Romania,Europe
ARY,-37.30939865,142.9889984,Australia,Oceania
ASA,13.07180023,42.64500046,Eritrea,Africa
ASB,37.986801,58.361000000000004,Turkmenistan,Asia
ASD,24.69790077,-77.79560089,Bahamas,North America
ASE,39.22320175,-106.8690033,United States,North America
ASF,46.28329849,48.00630188,Russia,Europe
ASH,42.78170013,-71.51480103,United States,North America
ASI,-7.9696,-14.3937,Saint Helena,Africa
ASJ,28.43059921,129.7129974,Japan,Asia
ASK,6.9031701089999995,-5.365580082,Cote d'Ivoire,Africa
ASM,15.29189968,38.91070175,Eritrea,Africa
ASN,33.56990051,-86.05090332,United States,North America
ASO,10.01850033,34.5862999,Ethiopia,Africa
ASP,-23.80669975,133.90199280000002,Australia,Oceania
ASR,38.770401,35.49539948,Turkey,Asia
ASS,-24.744165,31.522499,South Africa,Africa
AST,46.15800095,-123.8789978,United States,North America
ASU,-25.23999977,-57.52000046,Paraguay,South America
ASV,-2.645050049,37.25310135,Kenya,Africa
ASW,23.96439934,32.81999969,Egypt,Africa
ATA,-9.347439766,-77.5983963,Peru,South America
ATB,17.71034431,34.05701828,Sudan,Africa
ATC,24.6294,-75.673797,Bahamas,North America
ATD,-8.873330000000001,161.011002,Solomon Islands,Oceania
ATF,-1.2120699879999999,-78.57460022,Ecuador,South America
ATG,33.86909866,72.40090179,Pakistan,Asia
ATH,37.93640137,23.94449997,Greece,Europe
ATI,-30.40069962,-56.50790024,Uruguay,South America
ATJ,-19.83922148,47.06371307,Madagascar,Africa
ATK,70.46730042,-157.4360046,United States,North America
ATL,33.6367,-84.428101,United States,North America
ATM,-3.253910065,-52.25400162,Brazil,South America
ATO,39.21099854,-82.23139954,United States,North America
ATQ,31.70960045,74.79730225,India,Asia
ATR,20.506799700000002,-13.04319954,Mauritania,Africa
ATW,44.258098600000004,-88.51909637,United States,North America
ATY,44.91400146,-97.15470123,United States,North America
ATZ,27.04649925,31.01199913,Egypt,Africa
AUA,12.5014,-70.015198,Aruba,North America
AUC,7.06888,-70.7369,Colombia,South America
AUF,47.85020065,3.49710989,France,Europe
AUG,44.320598600000004,-69.79730225,United States,North America
AUH,24.43300056,54.65110016,United Arab Emirates,Asia
AUK,62.68004227,-164.6599274,United States,North America
AUO,32.615101,-85.433998,United States,North America
AUQ,-9.768790245,-139.0110016,French Polynesia,Oceania
AUR,44.89139938,2.421940088,France,Europe
AUS,30.19449997,-97.66989899,United States,North America
AUU,-13.354067,141.72065,Australia,Oceania
AUW,44.92620087,-89.62660217,United States,North America
AUX,-7.227869999999999,-48.240501,Brazil,South America
AUY,-20.24920082,169.7709961,Vanuatu,Oceania
AVA,26.26055556,105.87333329999998,China,Asia
AVB,46.031898,12.596503,Italy,Europe
AVI,22.02709961,-78.78959656,Cuba,North America
AVK,46.25030136,102.802002,Mongolia,Asia
AVL,35.43619919,-82.54180145,United States,North America
AVN,43.90729904,4.901830196000001,France,Europe
AVO,27.59119987,-81.52780151,United States,North America
AVP,41.33850098,-75.7233963,United States,North America
AVR,38.883301,-9.0301,Portugal,Europe
AVV,-38.039398,144.46899399999998,Australia,Oceania
AVW,32.4095993,-111.21800230000001,United States,North America
AVX,33.4049,-118.416,United States,North America
AWA,7.066999912000001,38.5,Ethiopia,Africa
AWD,-19.2346,169.6009,Vanuatu,Oceania
AWK,19.28210068,166.6360016,Wake Island,
AWZ,31.33740044,48.76200104,Iran,Asia
AXA,18.2048,-63.055099,Anguilla,North America
AXD,40.85589981,25.95630074,Greece,Europe
AXF,38.74831,105.58858000000001,China,Asia
AXJ,32.482498,130.158997,Japan,Asia
AXK,14.55130005,46.82619858,Yemen,Asia
AXM,4.452780000000001,-75.7664,Colombia,South America
AXN,45.86629868,-95.3946991,United States,North America
AXP,22.44179916,-73.97090149,Bahamas,North America
AXR,-15.2482996,-146.6170044,French Polynesia,Oceania
AXT,39.61560059,140.21899409999997,Japan,Asia
AXU,14.14680004,38.77280045,Ethiopia,Africa
AYK,50.3185997,66.95279694,Kazakhstan,Asia
AYO,-27.370554,-56.854064,Paraguay,South America
AYP,-13.15480042,-74.20439911,Peru,South America
AYQ,-25.1861,130.975998,Australia,Oceania
AYS,31.24909973,-82.39550018,United States,North America
AYT,36.898701,30.800501,Turkey,Asia
AYW,-1.1593,132.4633,Indonesia,Asia
AZA,33.30780029,-111.65499879999999,United States,North America
AZD,31.904899600000004,54.2765007,Iran,Asia
AZI,24.42830086,54.45809937,United Arab Emirates,Asia
AZN,40.72769928,72.29399872,Uzbekistan,Asia
AZO,42.23490143,-85.55210114,United States,North America
AZR,27.83760071,-0.186414003,Algeria,Africa
AZS,19.2670002,-69.74199677,Dominican Republic,North America
BAB,39.13610077,-121.4369965,United States,North America
BAD,32.50180054,-93.66269684,United States,North America
BAF,42.157799,-72.715599,United States,North America
BAG,16.37509918,120.6200027,Philippines,Asia
BAH,26.27079964,50.63359833,Bahrain,Asia
BAI,9.163949,-83.33017099999999,Costa Rica,North America
BAL,37.92900085,41.11660004,Turkey,Asia
BAQ,10.8896,-74.7808,Colombia,South America
BAR,19.13824,110.454775,China,Asia
BAS,-6.9907449999999995,155.88665600000002,Solomon Islands,Oceania
BAT,-20.58449936,-48.59410095,Brazil,South America
BAU,-22.34499931,-49.05379868,Brazil,South America
BAV,40.56000137,109.99700159999998,China,Asia
BAX,53.36380005,83.53849792,Russia,Europe
BAY,47.65840149,23.46999931,Romania,Europe
BAZ,-0.981292,-62.919601,Brazil,South America
BBA,-45.91609955,-71.6894989,Chile,South America
BBC,28.97330093,-95.8635025,United States,North America
BBD,31.17930031,-99.32389832,United States,North America
BBG,3.08583,172.811005,Kiribati,Oceania
BBH,54.338253,12.710515,Germany,Europe
BBI,20.24440002,85.81780243,India,Asia
BBJ,49.945278,6.565,Germany,Europe
BBK,-17.83289909,25.16239929,Botswana,Africa
BBL,-27.405633,141.809458,Australia,Oceania
BBM,13.09560013,103.22399899999999,Cambodia,Asia
BBN,3.733890057,115.4789963,Malaysia,Asia
BBO,10.38920021,44.94110107,Somalia,Africa
BBP,50.67810059,-1.109439969,United Kingdom,Europe
BBQ,17.635799,-61.828602000000004,Antigua and Barbuda,North America
BBR,16.01329994,-61.74219894,Guadeloupe,North America
BBS,51.32389832,-0.847500026,United Kingdom,Europe
BBT,4.221580029,15.78639984,Central African Republic,Africa
BBU,44.50320053,26.10210037,Romania,Europe
BBX,40.13750076,-75.26509857,United States,North America
BCA,20.36529922,-74.5062027,Cuba,North America
BCD,10.7764,123.014999,Philippines,Asia
BCE,37.70640183,-112.1449966,United States,North America
BCH,-8.489029883999999,126.40100100000001,Democratic Republic of Timor-Leste,
BCI,-23.56529999,145.3070068,Australia,Oceania
BCL,10.76869965,-83.58560181,Costa Rica,North America
BCM,46.52190018,26.910299300000002,Romania,Europe
BCN,41.2971,2.0784599999999998,Spain,Europe
BCO,5.78287,36.562,Ethiopia,Africa
BCT,26.37849998,-80.10769653,United States,North America
BCU,10.482833,9.744,Nigeria,Africa
BDA,32.36399841,-64.67870331,Bermuda,North America
BDB,-24.90390015,152.31900019999998,Australia,Oceania
BDD,-10.14999962,142.1734,Australia,Oceania
BDE,48.72840118,-94.61219788,United States,North America
BDH,26.53199959,54.82479858,Iran,Asia
BDI,-3.7247199999999996,55.205299,Seychelles,Africa
BDJ,-3.442359924,114.76300049999999,Indonesia,Asia
BDL,41.93889999,-72.68319702,United States,North America
BDM,40.31800079,27.97769928,Turkey,Asia
BDN,24.84149933,68.83840179,Pakistan,Asia
BDO,-6.900629997,107.57599640000001,Indonesia,Asia
BDP,26.57080078,88.07959747,Nepal,Asia
BDQ,22.336201000000003,73.226303,India,Asia
BDR,41.16350174,-73.12619781,United States,North America
BDS,40.6576,17.947001,Italy,Europe
BDT,4.2532100680000005,20.97529984,Congo,Africa
BDU,69.05580139,18.54039955,Norway,Europe
BEB,57.48109818,-7.362780094,United Kingdom,Europe
BEC,37.69449997,-97.21499634,United States,North America
BED,42.47000122,-71.28900146,United States,North America
BEF,11.99100018,-83.77410126,Nicaragua,North America
BEG,44.81840134,20.3090992,Serbia,Europe
BEI,9.386389732,34.52190018,Ethiopia,Africa
BEJ,2.1555,117.431999,Indonesia,Asia
BEK,28.42210007,79.45079803,India,Asia
BEL,-1.37925005,-48.47629929,Brazil,South America
BEM,32.401895,-6.315905,Morocco,Africa
BEN,32.09680176,20.26950073,Libya,Africa
BEO,-33.0667,151.647995,Australia,Oceania
BEP,15.16279984,76.88279724,India,Asia
BEQ,52.34260178,0.772939026,United Kingdom,Europe
BES,48.44789886,-4.418540001,France,Europe
BET,60.77980042,-161.8379974,United States,North America
BEU,-24.34609985,139.46000669999998,Australia,Oceania
BEV,31.28700066,34.72299957,Israel,Asia
BEW,-19.79640007,34.90760039999999,Mozambique,Africa
BEX,51.61640167,-1.095829964,United Kingdom,Europe
BEY,33.82089996,35.48839951,Lebanon,Asia
BEZ,-1.354719996,176.0070038,Kiribati,Oceania
BFD,41.80310059,-78.64009857,United States,North America
BFE,51.964721999999995,8.544444,Germany,Europe
BFF,41.87400055,-103.5960007,United States,North America
BFH,-25.40509987,-49.23199844,Brazil,South America
BFI,47.52999878,-122.302002,United States,North America
BFJ,27.267065999999996,105.47209699999999,China,Asia
BFK,39.7016983,-104.7519989,United States,North America
BFL,35.43360138,-119.0569992,United States,North America
BFM,30.62680054,-88.06809998,United States,North America
BFN,-29.09269905,26.30240059,South Africa,Africa
BFO,-21.008101,31.5786,Zimbabwe,Africa
BFP,40.77249908,-80.3914032,United States,North America
BFS,54.65750122,-6.2158298489999995,United Kingdom,Europe
BFT,32.41220093,-80.63439941,United States,North America
BFU,32.84773333,117.3202444,China,Asia
BFV,15.22949982,103.25299840000001,Thailand,Asia
BFW,35.17179871,-0.593275011,Algeria,Africa
BFX,5.536920071,10.35459995,Cameroon,Africa
BGA,7.1265,-73.1848,Colombia,South America
BGC,41.8578,-6.70713,Portugal,Europe
BGD,35.70090103,-101.3939972,United States,North America
BGE,30.971500399999996,-84.63739777,United States,North America
BGF,4.398479939,18.51880074,Central African Republic,Africa
BGG,38.85926056,40.59596252,Turkey,Asia
BGI,13.07460022,-59.49250031,Barbados,North America
BGL,28.21279907,83.66629791,Nepal,Asia
BGM,42.20869827,-75.97979736,United States,North America
BGN,68.556602,146.231506,Russia,Europe
BGO,60.29339981,5.218140125,Norway,Europe
BGR,44.80739975,-68.82810211,United States,North America
BGW,33.26250076,44.23460007,Iraq,Asia
BGX,-31.39049911,-54.11220169,Brazil,South America
BGY,45.673901,9.70417,Italy,Europe
BGZ,41.58710098,-8.445139885,Portugal,Europe
BHB,44.45000076,-68.36150359999999,United States,North America
BHD,54.61809921,-5.872499942999999,United Kingdom,Europe
BHE,-41.51829910000001,173.86999509999998,New Zealand,Oceania
BHG,15.7631,-84.543602,Honduras,North America
BHH,19.984399800000002,42.620899200000004,Saudi Arabia,Asia
BHI,-38.725,-62.1693,Argentina,South America
BHJ,23.28779984,69.67019653,India,Asia
BHK,39.77500153,64.48329926,Uzbekistan,Asia
BHM,33.56290054,-86.75350189,United States,North America
BHN,14.78199959,45.72010039999999,Yemen,Asia
BHO,23.28750038,77.33740234,India,Asia
BHP,27.1473999,87.05079651,Nepal,Asia
BHQ,-32.00139999,141.4720001,Australia,Oceania
BHR,27.678101,84.42939799999999,Nepal,Asia
BHS,-33.40940094,149.65199280000002,Australia,Oceania
BHU,21.75219917,72.18520355,India,Asia
BHV,29.34810066,71.71800232,Pakistan,Asia
BHW,32.05609894,72.9484024,Pakistan,Asia
BHX,52.45389938,-1.7480299469999998,United Kingdom,Europe
BHY,21.5394,109.293999,China,Asia
BIA,42.55270004,9.483730316,France,Europe
BIB,3.1022200580000003,43.62860107,Somalia,Africa
BID,41.16809845,-71.57779694,United States,North America
BIF,31.84950066,-106.3799973,United States,North America
BIG,63.99449921,-145.7220001,United States,North America
BIH,37.37310028,-118.36399840000001,United States,North America
BIK,-1.190019965,136.1080017,Indonesia,Asia
BIL,45.80770111,-108.5429993,United States,North America
BIM,25.69989967,-79.26470184,Bahamas,North America
BIN,34.81700134,67.81700134,Afghanistan,Asia
BIO,43.30110168,-2.910609961,Spain,Europe
BIQ,43.4683333,-1.5311111000000002,France,Europe
BIR,26.48150063,87.26399994,Nepal,Asia
BIS,46.77270126,-100.7460022,United States,North America
BIU,65.64129639,-23.546199800000004,Iceland,Europe
BIX,30.41040039,-88.92440033,United States,North America
BIY,-32.89709854,27.27910042,South Africa,Africa
BJA,36.712001799999996,5.0699200630000005,Algeria,Africa
BJB,37.49300003,57.30820084,Iran,Asia
BJC,39.90879822,-105.11699679999998,United States,North America
BJF,70.60050201,29.69140053,Norway,Europe
BJH,29.53899956,81.18540192,Nepal,Asia
BJI,47.50939941,-94.93370056,United States,North America
BJL,13.3380003,-16.652200699999998,Gambia,Africa
BJM,-3.3240199089999996,29.31850052,Burundi,Africa
BJO,-22.77330017,-64.31289673,Bolivia,South America
BJP,-22.979162,-46.537508,Brazil,South America
BJR,11.60809994,37.32160187,Ethiopia,Africa
BJU,29.50200081,81.66899872,Nepal,Asia
BJV,37.25059891,27.66430092,Turkey,Asia
BJW,-8.70743498,121.05742690000001,Indonesia,Asia
BJX,20.9935,-101.481003,Mexico,North America
BJY,44.935299,20.2575,Serbia,Europe
BJZ,38.8913002,-6.82133007,Spain,Europe
BKA,55.61719894,38.06000137,Russia,Europe
BKB,28.07060051,73.2071991,India,Asia
BKC,65.9815979,-161.1490021,United States,North America
BKD,32.71900177,-98.89099884,United States,North America
BKE,44.83729935,-117.8089981,United States,North America
BKG,36.532082,-93.200544,United States,North America
BKH,22.02280045,-159.78500369999998,United States,North America
BKI,5.937210082999999,116.0510025,Malaysia,Asia
BKK,13.68109989,100.74700159999999,Thailand,Asia
BKL,41.51750183,-81.6832962,United States,North America
BKM,3.973999977,115.61799620000001,Malaysia,Asia
BKO,12.5335,-7.94994,Mali,Africa
BKQ,-24.42779922,145.4290009,Australia,Oceania
BKS,-3.8637,102.33899699999999,Indonesia,Asia
BKW,37.78730011,-81.12419891,United States,North America
BKY,-2.308979988,28.80879974,Congo,Africa
BKZ,-1.3319999999999999,31.8212,Tanzania,Africa
BLA,10.111111,-64.692222,Venezuela,South America
BLB,8.91479,-79.599602,Panama,North America
BLE,60.42200089,15.51519966,Sweden,Europe
BLF,37.29579926,-81.20770264,United States,North America
BLG,2.650000095,113.7669983,Malaysia,Asia
BLH,33.61920166,-114.71700290000001,United States,North America
BLI,48.792800899999996,-122.538002,United States,North America
BLJ,35.7521019,6.308589935,Algeria,Africa
BLK,53.77170181,-3.028609991,United Kingdom,Europe
BLL,55.74029922,9.151780128,Denmark,Europe
BLN,-36.55189896,146.0070038,Australia,Oceania
BLQ,44.5354,11.2887,Italy,Europe
BLR,13.1979,77.706299,India,Asia
BLT,-23.60309982,148.8070068,Australia,Oceania
BLV,38.5452,-89.835197,United States,North America
BLZ,-15.67910004,34.97399902,Malawi,Africa
BMA,59.35440063,17.94169998,Sweden,Europe
